Galaxy,Seyfert_Type,PlateScale,pc_arcsecond,Redshift,Distance_Mpc,Xray_Lum14195kev,Column_Density_LognH,Obs_date,PSF,H2 (erg/s)(Central 200 pc Log[Luminosity]),[Si VI] (erg/s)(Central 200 pc Log[Luminosity]),Br-Ga (erg/s)(Central 200 pc Log[Luminosity]),H2 (pc) (HWHM),[Si VI] (pc)(HWHM),Br-Ga (pc)(HWHM)
Circinus,SINFONI,1h,0.0014,0.0125,4.2,20,41.76,--,6,36.2,37.01,36.32,10,10,10
"ESO	137-G034",SINFONI,2,0.00938,0.05,38.2,185,42.62,24.36,34,38.74,38.98,38.47,40,20,20
"ESO	428-G14",SINFONI,2,0.0056,0.05,24.3,118,42.22,--,34,38.64,39.1,38.85,20,10,10
"ESO	548-81",SINFONI,1,0.0145,0.05,58.5,284,43.23,20,62,38.06,39.04,39.07,10,20,20
"IC	1459",SINFONI,3,0.006,0.05,28.4,138,42.29,--,52,37.7,38.62,--,20,30,--
"IC	2560",SINFONI,2,0.00984,0.05,40.7,197,42.36,--,39,38.43,39.06,38.4,30,20,20
"IC	4296",SINFONI,3,0.0133,0.125,55.2,268,--,--,182,37.74,37.3,36.7,30,100,70
"IC	4329a",OSIRIS,1.2,0.0157,0.035,66.2,321,44.14,21.52,39,--,39.71,39.14,10,10,10
"IC	5063*",SINFONI,1h,0.0113,0.05,41.7,202,43.15,23.56,58,38.14,38.92,38.44,20,10,10
"IRAS	01475-0740",OSIRIS,2,0.0168,0.05,73,354,42.42,--,34,38.96,39.47,39.26,20,20,10
"M	87",SINFONI,3,0.0042,0.05,17.1,83,--,--,28,37.79,<38.38,--,20,10,10
"MCG	-44",SINFONI,1i,0.00869,0.05,39.5,168,43.59,22.18,43,38.47,39,39.49,10,20,20
"MCG	-06-30-015*",SINFONI,1.2,0.00808,0.125,26.8,130,42.71,20.85,81,37.64,38.41,39.06,20,10,10
"MRK	1066",KONA,2,0.0122,0.05,49.5,240,42.47,--,23,39.07,38.57,39.09,30,10,30
"MRK	1210",OSIRIS,2,0.0136,0.035,58,281,43.36,23.4,42,38.79,39.63,39.23,30,20,20
"MRK	573",OSIRIS,2a,0.01635,0.035,71.4,346,43.34,--,45,37.8,39.04,38.33,20,30,30
"MRK	766",OSIRIS,1,0.0122,0.05,54.9,266,42.98,20.32,25,38.48,--,39.43,10,10,20
"NGC	1052",SINFONI,3h,0.005,0.05,20,97,42.18,22.95,25,38.45,38.06,<37.22,10,60,10
"NGC	1068",SINFONI,1h,0.0038,0.05,14.4,70,41.97,25,13,39.54,40.21,39.4,10,10,20
